
highCount mobileAnalysisCount criticalCount totalReleaseCount scannedApplicationCount unassessedCount staticAnalysisCount twoStarRatingCount oneStarRatingCount lowCount
--------- ------------------- ------------- ----------------- ----------------------- --------------- ------------------- ------------------ ------------------ --------
    11024                   2         14017               169                     129              40                 111                 10                111     1510


